id_aset_lama,nama_aset_lama,kategori,tipe,id_aset_baru,tanggal_penggantian,alasan_penggantian,biaya_penggantian
653,MON-B7QM-0653,Sistem Telekomunikasi Gedung,Monitor/Layar,93440,2020-01-01,Tidak ada spare part,62190000
16743,CON-HE6U-16743,Electrical,Control Panel Penerangan,79248,2020-01-01,Usia pakai habis,85490000
17417,INA-4Y65-17417,Plumbing,Wastafel,90218,2021-01-01,Efisiensi energi,94470000
57200,DAI-WCF6-57200,Mechanical,AC Split,53728,2024-01-01,Standar keamanan baru,34690000
33187,PLA-F1ZF-33187,Arsitektur,Plafon,71321,2025-01-01,Tidak ada spare part,12400000
56661,PIN-OPE8-56661,Arsitektur,Pintu Kaca Hidrolik,91093,2025-01-01,Efisiensi energi,60930000
47076,DIN-M4TC-47076,Civil,"Dinding Partisi, GRC / Gypsum",66253,2025-01-01,Efisiensi energi,18370000
55623,PEM-37N9-55623,Plumbing,Pemipaan Air Bersih,60799,2024-02-01,Kontrak maintenance habis,17430000
46286,LAM-9Q9I-46286,Electrical,Lampu LED,96387,2024-02-01,Upgrade kapasitas,81880000
14782,SHA-OQU8-14782,Mechanical,AC Split,84026,2024-02-01,Standar keamanan baru,91070000
60997,UNI-LJON-60997,Electrical,Uninterruptible Power Supply,56995,2024-02-01,Tidak ada spare part,84830000
43783,DIN-F2IL-43783,Civil,Dinding Tembok/Mansonry,51662,2025-02-01,Standar keamanan baru,37320000
37616,MIT-CD7W-37616,Mechanical,AC Split,79139,2023-03-01,Kerusakan fatal tidak ekonomis diperbaiki,31050000
32585,LAM-GSN2-32585,Electrical,Lampu Downlight,93111,2024-03-01,Usia pakai habis,66610000
56037,AXI-FM5H-56037,Security Sistem,Kamera CCTV,86850,2024-03-01,Kontrak maintenance habis,93630000
40261,PAN-32RS-40261,Electrical,Panel PP-ME,65716,2024-03-01,Upgrade kapasitas,9970000
40257,LAM-99IF-40257,Electrical,Lampu Downlight,96455,2025-03-01,Kontrak maintenance habis,89840000
33749,LAM-ZN1Y-33749,Electrical,Lampu Downlight,62680,2025-03-01,Sudah obsolete,88350000
50985,PLA-OPTB-50985,Arsitektur,Plafon Gypsum / GRC,76175,2025-03-01,Tidak ada spare part,23300000
53970,ROL-3WOF-53970,Arsitektur,Rolling Door,77026,2025-03-01,Standar keamanan baru,68110000
31772,LAM-EJ5K-31772,Electrical,Lampu LED Strip,93594,2025-03-01,Usia pakai habis,73700000
16178,BRE-796E-16178,Electrical,Breker Panel,56205,2025-03-01,Sudah obsolete,47220000
15139,LAM-M4UB-15139,Electrical,Lampu Downlight,59258,2025-03-01,Efisiensi energi,85730000
20594,LAM-EQ7X-20594,Electrical,Lampu Downlight,55673,2024-04-01,Kerusakan fatal tidak ekonomis diperbaiki,72940000
25856,JET-XGFT-25856,Plumbing,Jet Shower,75146,2024-04-01,Usia pakai habis,9420000
43791,PIN-VJM5-43791,Arsitektur,Pintu Biasa Berdaun Tunggal,90745,2024-04-01,Sudah obsolete,26790000
24613,FCU-VFAK-24613,Mechanical,FCU,80877,2025-04-01,Sudah obsolete,26650000
36474,APA-G00Y-36474,Sistem Pemadam Kebakaran,APAR Dry Powder Stored Pressure,67351,2025-04-01,Tidak ada spare part,12720000
24591,FCU-OX9Q-24591,Mechanical,FCU,73734,2025-04-01,Kontrak maintenance habis,21350000
31170,LAM-BFGF-31170,Electrical,Lampu Downlight,74629,2025-05-01,Usia pakai habis,38090000
55395,WIR-RMW3-55395,Electrical,Wiring System (Sistem Instalasi Kabel),73125,2021-06-01,Standar keamanan baru,96180000
23215,FCU-ZBKK-23215,Mechanical,FCU,68332,2023-06-01,Standar keamanan baru,6590000
38551,PAN-TBIW-38551,Mechanical,AC Split,70126,2024-06-01,Kontrak maintenance habis,2870000
17423,APA-56YW-17423,Sistem Pemadam Kebakaran,APAR Dry Powder Stored Pressure,80843,2024-06-01,Kerusakan fatal tidak ekonomis diperbaiki,89520000
39229,PAB-MBAI-39229,Sistem Telekomunikasi Gedung,PABX,54499,2025-06-01,Kontrak maintenance habis,89650000
39760,LAN-5ZFY-39760,Civil,Lantai Keramik,61604,2025-06-01,Efisiensi energi,15040000
50933,BOS-HLFX-50933,Security Sistem,Kamera CCTV,85608,2024-07-01,Usia pakai habis,9770000
41484,SDP-4KAW-41484,Electrical,SDP,70577,2024-07-01,Standar keamanan baru,89710000
29828,DIN-UI8R-29828,Civil,Dinding Tembok/Mansonry,72021,2020-08-01,Sudah obsolete,29750000
61048,LAM-22OJ-61048,Electrical,Lampu LED Bulb,89784,2024-08-01,Sudah obsolete,39210000
16603,SHA-HWAJ-16603,Mechanical,AC Split,54196,2024-08-01,Usia pakai habis,45330000
21220,SHA-6SQD-21220,Mechanical,AC Split,70089,2024-08-01,Standar keamanan baru,97330000
41780,LAM-WKV1-41780,Electrical,Lampu TL LED,88727,2025-08-01,Kerusakan fatal tidak ekonomis diperbaiki,64300000
54556,PIN-M8LZ-54556,Arsitektur,Pintu Kaca Hidrolik,94492,2025-08-01,Kontrak maintenance habis,12400000
43871,PLA-MYWR-43871,Arsitektur,Plafon Gypsum / GRC,93036,2025-08-01,Kerusakan fatal tidak ekonomis diperbaiki,37350000
60205,JET-O5AI-60205,Plumbing,Jet Shower,69342,2025-08-01,Sudah obsolete,69750000
30179,NOH-USYA-30179,Sistem Proteksi Kebakaran Aktif,Smoke Detector,79939,2019-09-01,Tidak ada spare part,36660000
25741,ROR-8O27-25741,Security Sistem,Ror Rate Of Rise Heat Detector,71294,2021-09-01,Kontrak maintenance habis,23210000
14875,GRE-K3BA-14875,Mechanical,AC Split,60455,2023-09-01,Tidak ada spare part,87530000
60492,POM-5SEB-60492,Mechanical,Pompa Sampit,81274,2024-09-01,Sudah obsolete,76770000
31529,LAM-JHZZ-31529,Electrical,Lampu LED,51911,2022-10-01,Standar keamanan baru,37770000
15061,PAB-RTRA-15061,Sistem Telekomunikasi Gedung,PABX,65805,2023-10-01,Kerusakan fatal tidak ekonomis diperbaiki,54670000
22923,APA-FV2E-22923,Sistem Pemadam Kebakaran,APAR Dry Powder Cartridge,95373,2024-10-01,Efisiensi energi,24120000
1134,PAN-WPJC-1134,Mechanical,AC Cassette,58374,2025-10-01,Upgrade kapasitas,8950000
12550,LAM-5NK4-12550,Electrical,Lampu Downlight,67140,2018-11-01,Kerusakan fatal tidak ekonomis diperbaiki,33590000
5699,PLA-OFDW-5699,Arsitektur,Plafon Gypsum / GRC,93834,2023-11-01,Efisiensi energi,77950000
13186,PAN-C39M-13186,Mechanical,AC Cassette,64452,2025-11-01,Kontrak maintenance habis,11430000
30461,LG-QGSZ-30461,Mechanical,AC Split,92611,2025-11-01,Efisiensi energi,12740000
52224,PUS-GZUO-52224,Security Sistem,Push Button,92044,2025-11-01,Standar keamanan baru,45870000
32322,LAM-R92K-32322,Electrical,Lampu Wall sign,79933,2025-11-01,Standar keamanan baru,45520000
26532,WAS-I4H4-26532,Plumbing,Kran Air,53659,2020-12-01,Kerusakan fatal tidak ekonomis diperbaiki,78880000
33558,POM-9ZIB-33558,Mechanical,Pompa Chiller Water Sekunder,86823,2023-12-01,Tidak ada spare part,96140000
52062,PIN-HBM3-52062,Arsitektur,Pintu Kaca Hidrolik,52764,2025-12-01,Kontrak maintenance habis,45330000
57692,HYD-L83Q-57692,Sistem Pemadam Kebakaran,Hydrant Box ,79726,2025-12-01,Standar keamanan baru,29490000
29610,SHA-WDVH-29610,Mechanical,AC Split,98261,2025-12-01,Tidak ada spare part,54090000
50934,AXI-KV9O-50934,Security Sistem,Kamera CCTV,54679,2019-01-02,Standar keamanan baru,44380000
37907,GRE-OV7W-37907,Mechanical,AC Split,94328,2024-01-02,Standar keamanan baru,31980000
25367,SHA-9LZT-25367,Mechanical,AC Split,82050,2025-01-02,Upgrade kapasitas,39690000
59933,DIN-46FF-59933,Civil,"Dinding Partisi, GRC / Gypsum",96913,2025-01-02,Kerusakan fatal tidak ekonomis diperbaiki,25870000
12054,PER-P64N-12054,Mechanical,Genset Diesel,89291,2025-01-02,Tidak ada spare part,25540000
3447,APA-EGPN-3447,Sistem Pemadam Kebakaran,APAB Dry Powder,96081,2022-02-02,Sudah obsolete,24300000
51960,APA-MH1Y-51960,Sistem Pemadam Kebakaran,APAR CO2,88951,2023-02-02,Kerusakan fatal tidak ekonomis diperbaiki,70360000
39942,LAM-0G4K-39942,Electrical,Lampu Downlight,95783,2024-02-02,Usia pakai habis,78930000
6290,LAM-REDG-6290,Electrical,Lampu Downlight,92821,2024-02-02,Usia pakai habis,53910000
25157,KDK-WITK-25157,Ventilasi Sistem,Exhaust Fan,91518,2024-02-02,Kontrak maintenance habis,40950000
30478,APA-NJOB-30478,Sistem Pemadam Kebakaran,APAR Dry Powder Stored Pressure,64180,2025-02-02,Standar keamanan baru,7060000
18791,UNI-QIIW-18791,Electrical,Uninterruptible Power Supply,70948,2025-02-02,Efisiensi energi,67840000
35108,KLO-33I4-35108,Plumbing,Kloset,76207,2025-02-02,Efisiensi energi,24460000
7377,UNI-PE7R-7377,Electrical,Uninterruptible Power Supply,79325,2021-03-02,Standar keamanan baru,37390000
30687,SHA-8UHJ-30687,Mechanical,AC Split,98519,2022-03-02,Upgrade kapasitas,58370000
39603,TOT-TDDQ-39603,Plumbing,Wastafel,76308,2024-03-02,Kerusakan fatal tidak ekonomis diperbaiki,3130000
11609,LVM-EOI4-11609,Electrical,LVMDP,88072,2024-03-02,Kontrak maintenance habis,16620000
46622,APA-CO85-46622,Sistem Pemadam Kebakaran,APAR Dry Powder Stored Pressure,76928,2024-03-02,Kontrak maintenance habis,65930000
